Position;Player Name;Alliance;Points
1;AIamet;;2,385,067
2;KULAKSIZ TAVŞAN;;2,302,203
3;Alpha;;1,425,468
4;Legend of Arabs;;1,271,540
5;Jason-6243;;1,232,601
6;-FORZA-;CRZY;1,128,951
7;Italy Bank;CRZY;853,815
8;orgeneral35;Org;764,336
9;Tierra Santa;LGS1;648,720
10;Givati;LGS1;545,907
11;GENERAL;HKMDR;479,180
12;-KALLITHEA-;H3LL;462,199
13;orfeo;H3LL;252,837
14;Chaos;-Z-;207,692
15;Kawaki-IX79;-Z-;200,195
16;CUBI892;-Z-;180,353
17;Ragnar Lodbrok;-Z-;152,841
18;Om Lotfi;R-F;152,050
19;TheBit;One;148,382
20;Dream Factory;TRP;139,242
21;ST Grun Katsie;TRP;125,636
22;Ciccio;TRP;115,078
23;Capitan J;TRP;108,582
24;--RiCkY--;TRP;99,343
25;EnMovimiento;1234;97,947
26;Merk;1234;92,307
27;OLYMPIAKOS -7-;HΕLL;88,198
28;RewenGe;CRZY;85,708
29;Bartolomeo;IDF;85,695
30;Aquarius;VIPP;77,387
31;370k;VIPP;71,651
32;kanenas;HΕLL;70,629
33;Nezhah;HΕLL;63,314
34;TaKeShiKoVacS;KaoS;58,774
35;nadirache;KaoS;54,530
36;maIvasio;-TMP-;54,291
37;GREEK PUNISHER;HΕLL;52,824
38;Duy;ROHAN;52,548
39;polemarxos78;HΕLL;51,634
40;Anti;-Z-;50,706
41;Surt;-Z-;47,379
42;stay with me;ROHAN;46,965
43;ZEUUS;HΕLL;45,763
44;GRIFIN;CRZY;45,651
45;dooomTCDISPO;FBG;43,320
46;NoName;LIONS;42,340
47;THOR;LIONS;41,773
48;Rancho-dono;GoCry;40,340
49;LeGwer;FBG;39,851
50;The UGA UGA;-Z-;38,887
51;3D1H40B3K;RATS;38,663
52;Davide 102;ROHAN;38,486
53;Warlord Xenos;ROHAN;37,602
54;Crux;ROHAN;35,806
55;Sharoumanos;HΕLL;34,823
56;Krinof;HΕLL;34,519
57;FakeTaxiDriver;HdB;34,288
58;cybertronloco22;CRZY;33,823
59;Corleone;-M-;33,647
60;Edu;H3LL;31,679
61;kaptanihtiyar;CRZY;31,634
62;Magneus Calagar;CRZY;31,138
63;V I R U S;CRZY;30,967
64;Junior;CRZY;30,727
65;Cinders;-KG-;30,678
66;Chielo;Art;30,404
67;Burrow;ROHAN;29,854
68;Abaddon;ZELA;28,983
69;Chivakike;VY-;28,782
70;MrLawyer;-KG-;28,742
71;Commander;SOWRD;28,575
72;Mr Wolf;LHS;28,545
73;VIRGO;LHS;28,258
74;WitcheR;ZELA;27,362
75;Micellium;ZELA;27,097
76;AKSOY;ROHAN;27,018
77;Rudeus;ROHAN;26,535
78;Gole;WOLF;26,102
79;Hyla Arborea;-12-;25,962
80;vllakaa;RUS;25,297
81;pindik mdejdara;WOLF;25,124
82;Mr Han;ROHAN;24,986
83;Blackfyre;ROHAN;23,708
84;Dende;KaoS;23,625
85;TuRGoN;LIONS;23,511
86;-ESTRANEO-;LIONS;23,500
87;Bash;RUS;23,297
88;Lydeka7;CRZY;23,206
89;Alone;CRZY;22,879
90;Georgia;CRZY;22,873
91;ViRuS7;H3LL;22,833
92;Bedovyj;RPG;22,587
93;σειριος;-KG-;22,529
94;OrionΩ;-KG-;22,444
95;CrisRonaldo PZ8;Art;22,412
96;Laynas;-KG-;22,245
97;Matis;-KG-;22,164
98;Termuguş;-UNI-;21,881
99;Tydeus27 PZ8;Art;21,861
100;Julius Caesar;BoB;21,842
101;themanwithfire;LIONS;21,837
102;Illenium;-TMP-;21,500
103;Randomizer;HΕLL;21,248
104;Namor;HΕLL;21,106
105;Fenrir;-Z-;20,970
106;BILL74;HΕLL;20,961
107;Burak yaman;ROHAN;20,811
108;LoboBlanco;WOLF;20,639
109;Mr Prince;HFH;20,588
110;NudeBOSS;CRZY;20,558
111;el_jefe;-TMP-;20,502
112;Kastike is back;PUTU;20,432
113;Eventual;ZELA;20,285
114;fabio2011;WAR;20,164
115;brunoB;-Z-;20,139
116;Vlad IV;HdB;20,093
117;Dark Knight;WOLF;20,091
118;samson438;-Z-;20,054
119;Don Quetzali;WOLF;20,046
120;LORDMAXIMUS PZ8;Art;20,002
121;tj0955908180;Art;19,893
122;Pelasgos-1975;-KG-;19,754
123;TheForeigner;-Z-;19,536
124;Tardeli;-Z-;19,460
125;The Jackal;GoCry;19,454
126;Hustla;GoCry;19,379
127;Ronin;HΕLL;19,327
128;chalks;HUN;19,267
129;Kyrie Eleison;LIONS;19,193
130;kaminia7;HΕLL;19,167
131;Dubai Turath;HΕLL;19,109
132;Big D Pablo;-Z-;18,918
133;Emrecan_ARDIÇ;CRZY;18,869
134;Paulos;HΕLL;18,813
135;Karlos;-BRT-;18,729
136;Sultan;-BRT-;18,726
137;ARES;WOLF;18,631
138;SKRULL;Art;18,543
139;rootedkernel;BoB;18,493
140;wolverine;-Z-;18,381
141;BeYaZ;ZELA;18,375
142;Kopar;LIONS;18,263
143;Hůča;WOLF;18,177
144;Hermes-X;RING;18,041
145;spartan-Z;CRZY;18,007
146;Olórin;CRZY;17,835
147;Fakka;-12-;17,833
148;Peasant;Ble;17,569
149;Bajza;-BRT-;17,555
150;bertolazy;-BRT-;17,549
151;Swieber;CRZY;17,543
152;Quake;-Z-;17,466
153;Lord Velaryon;-Z-;17,459
154;-Storm-;H3LL;17,387
155;Zerks;-Z-;17,374
156;Covax;-Z-;17,328
157;Plamen 65;RUS;17,325
158;Lightsider;HΕLL;17,286
159;deathpikachu;-12-;17,270
160;Mute;-TMP-;17,118
161;ulix;-Z-;17,091
162;BlackDranzer;WOLF;17,087
163;Fireman007;LIONS;17,082
164;DELTA FORCH 1;CRZY;17,011
165;Acid;HdB;16,971
166;Masterboss;ZELA;16,789
167;Spiteful Mr J;BoB;16,775
168;Regalya;HKMDR;16,768
169;Rudy;LIONS;16,731
170;Baltaz;WOLF;16,596
171;tienheo951;PAVN;16,543
172;Peleus-1401;PAVN;16,514
173;Rokasmdls;RATS;16,507
174;RAGNARLOTBROK;CRZY;16,379
175;Alex Herakles;-TMP-;16,306
176;Stavros;HΕLL;16,216
177;Stranger;HΕLL;16,148
178;blook;BLOOK;16,122
179;Destroyer;-Z-;16,084
180;KOCA KURT;CRZY;16,079
181;The ShaDoW;-SL-;15,992
182;Setesh;CRZY;15,990
183;TOTO1333;-BG-;15,962
184;Viticoltore;-BG-;15,873
185;N1kTakN1k;RUS;15,812
186;Captain-Crazy;HdB;15,809
187;_BUG_;-SL-;15,473
188;Chingy22;GLAD;15,440
189;Captain_Jack;GLAD;15,421
190;_Akıncı_;GLAD;15,421
191;Ratchet;-Z-;15,399
192;CapBorba;WOLF;15,311
193;Granger;HdB;15,307
194;owusum;ZELA;15,273
195;eduardo;WOLF;15,271
196;Revolution;CRZY;15,254
197;-Yaruki;CRZY;15,239
198;Ogokuru;-Z-;15,203
199;nhiel17;CRZY;15,179
200;M1AV;CRZY;15,107
201;Eisenhower;-KG-;15,026
202;lnsurgent -R;LIONS;14,929
203;ALASTOR;-RF-;14,901
204;Cove;-TR-;14,897
205;Aman;-12-;14,856
206;Junior Engineer;-BRT-;14,839
207;Daedalus-8820;-BRT-;14,738
208;Pazi;WOLF;14,708
209;Edmoreira21;WOLF;14,629
