Position;Player Name;Alliance;Points
1;AIamet;;2,277,145
2;KULAKSIZ TAVŞAN;;2,252,102
3;zwaya9;;2,058,000
4;Alpha;;1,890,944
5;Legend of Arabs;;1,283,231
6;-FORZA-;CRZY;1,250,325
7;Jason-6243;CRZY;1,232,601
8;Italy Bank;CRZY;853,815
9;orgeneral35;Org;764,336
10;Tierra Santa;LGS1;696,760
11;Givati;LGS1;571,795
12;GENERAL;HKMDR;508,250
13;trans17;HKMDR;385,258
14;Zucko;HKMDR;315,583
15;orfeo;HKMDR;252,837
16;Chaos;-Z-;207,692
17;Kawaki-IX79;-Z-;200,195
18;Dream Factory;TRP;198,478
19;--RiCkY--;TRP;190,015
20;Om Lotfi;R-F;153,826
21;Ragnar Lodbrok;R-F;152,841
22;TheBit;One;148,382
23;BOSHxGAR;One;127,699
24;Hell Dennis;One;114,098
25;ST Grun Katsie;One;109,401
26;EnMovimiento;1234;97,947
27;Surt;-Z-;94,539
28;Merk;-Z-;92,307
29;stay with me;ROHAN;89,552
30;Bartolomeo;IDF;85,695
31;RewenGe;CRZY;85,527
32;OLYMPIAKOS -7-;HΕLL;80,794
33;Aquarius;KaoS;77,387
34;kanenas;HΕLL;77,142
35;Crux;HΕLL;65,776
36;Ciccio;KaoS;63,879
37;Nezhah;KaoS;62,795
38;THOR;WOLF;62,049
39;polemarxos78;HΕLL;60,968
40;GREEK PUNISHER;HΕLL;52,824
41;Anti;-Z-;48,296
42;brunoB;-Z-;43,497
43;NoName;LIONS;42,340
44;DAYAKCI;CRZY;41,856
45;Corleone;-M-;40,604
46;Edu;H3LL;39,084
47;-SuKuNA-;KaoS;39,004
48;3D1H40B3K;RATS;38,727
49;ZEUUS;HΕLL;38,719
50;Rudeus;KaoS;38,652
51;Junior;;38,203
52;Abaddon;ZELA;38,058
53;Black Lion;CRZY;37,214
54;vllakaa;CRZY;36,256
55;Commander;SOWRD;35,720
56;Magneus Calagar;SOWRD;34,673
57;FakeTaxiDriver;HdB;34,611
58;cybertronloco22;CRZY;33,814
59;The UGA UGA;-Z-;32,993
60;WWZ;GoCry;32,275
61;LoboBlanco;WOLF;31,790
62;Suggit;GoCry;31,640
63;Dark Knight;WOLF;29,153
64;Mr Wolf;LHS;29,148
65;El Lider;-TMP-;28,970
66;Don Quetzali;-TMP-;28,309
67;VIRGO;KaoS;28,249
68;AUGUSTO MAXIMUS;BRA;28,204
69;Voda;WOLF;28,149
70;Krinof;HΕLL;27,628
71;Micellium;HΕLL;27,436
72;ecodor;FRA;27,225
73;Troy;ROHAN;26,933
74;Hyla Arborea;-12-;26,612
75;Dear Logistis;-KG-;26,439
76;Mr Han;ROHAN;26,290
77;Warlord Xenos;ROHAN;25,883
78;Dervin;WOLF;25,409
79;Zerks;-Z-;25,025
80;Dosadnomi;-Z-;24,897
81;Illenium;-TMP-;24,854
82;Bash;RUS;24,643
83;Destroyer;-Z-;24,553
84;FREY-;RUSA;24,324
85;Minoas21;HΕLL;24,260
86;WitcheR;ZELA;24,149
87;AKSOY;ROHAN;23,895
88;-ESTRANEO-;ROHAN;23,526
89;pindik mdejdara;WOLF;23,494
90;abel280;-UNI-;23,060
91;Tardeli;-KG-;22,979
92;_Akıncı_;-KG-;22,966
93;kaptanihti-me;CRZY;22,855
94;Davide 102;ROHAN;22,787
